Name,University,Course,Start Year,End Year,GPA,Preferred Career,Skills,Certifications,Preferred Location
Amanda Monroe,VIT,Electronics,2019,2023,7.53,Systems Engineer,"Excel, TensorFlow","Cisco CCNA, AutoCAD Professional",Mumbai
Jerry Arnold,BITS Pilani,Computer Science,2020,2024,9.94,Systems Engineer,"Java, C++, SQL, R, MATLAB","Google Data Analytics, Azure Fundamentals",Mumbai
Sarah Lester,VIT,Electronics,2021,2025,9.5,Software Engineer,"TensorFlow, Java","Scrum Master, Cisco CCNA",Mumbai
Sharon Summers,BITS Pilani,Biotech,2016,2020,7.76,ML Engineer,"Power BI, Linux, Python, MATLAB","Google Data Analytics, Azure Fundamentals",Delhi
Lynn Holland,NIT Warangal,Electronics,2021,2025,7.06,Civil Project Manager,"Python, Excel, SQL, Power BI","Scrum Master, AutoCAD Professional",Ahmedabad
Martha Smith,NIT Warangal,Biotech,2019,2023,8.06,Mechanical Design Engineer,"Java, AutoCAD, MATLAB","AWS Certified, Cisco CCNA",Ahmedabad
Kathleen Koch,IIIT Hyderabad,Electronics,2015,2019,7.12,Cybersecurity Analyst,"MATLAB, Java, SQL",Scrum Master,Mumbai
Mr. David Chen MD,IIIT Hyderabad,Electronics,2020,2024,7.02,Civil Project Manager,"Power BI, MATLAB, R, Excel","AutoCAD Professional, Cisco CCNA",Kolkata
Allison Mcdaniel,VIT,Data Science,2019,2023,6.16,Civil Project Manager,"Excel, R, TensorFlow",,Ahmedabad
Nicole Smith,NIT Trichy,Cybersecurity,2022,2026,7.97,Civil Project Manager,"MATLAB, AutoCAD, Java, SQL, C++","Azure Fundamentals, Google Data Analytics",Hyderabad
Audrey Blair,IIT Delhi,Civil,2017,2021,7.84,Civil Project Manager,"R, Excel","Cisco CCNA, Google Data Analytics",Mumbai
Laura Baldwin,NIT Trichy,Biotech,2017,2021,9.92,Mechanical Design Engineer,"Excel, Python, SQL, AutoCAD, Power BI",Scrum Master,Mumbai
Hannah Perez,IIIT Hyderabad,Civil,2021,2025,9.88,Mechanical Design Engineer,"AutoCAD, C++, Python",,Hyderabad
Randy Davis,NIT Trichy,Civil,2019,2023,8.65,Data Analyst,"TensorFlow, Python",AWS Certified,Mumbai
Andrea Tyler,VIT,Electronics,2015,2019,7.1,Civil Project Manager,"C++, Excel",,Chennai
Eric Diaz,VIT,Electronics,2022,2026,8.41,ML Engineer,"Excel, MATLAB, SQL, AutoCAD, Java",,Delhi
John Lopez,IIT Bombay,Data Science,2016,2020,8.37,Mechanical Design Engineer,"MATLAB, TensorFlow, Linux, R","AutoCAD Professional, Azure Fundamentals",Hyderabad
Crystal Walker,IIT Madras,Data Science,2015,2019,7.19,Civil Project Manager,"Python, Java","Google Data Analytics, Azure Fundamentals",Ahmedabad
Jeffrey Wiggins,VIT,Biotech,2020,2024,9.56,ML Engineer,"Power BI, Excel, C++, Java, Python","AutoCAD Professional, Scrum Master",Mumbai
Albert Williams,NIT Warangal,Civil,2021,2025,8.69,Cybersecurity Analyst,"Java, Excel, MATLAB, R",Scrum Master,Mumbai
Matthew Swanson,IIT Bombay,Data Science,2020,2024,8.28,Civil Project Manager,"TensorFlow, C++, Excel, SQL, AutoCAD","AutoCAD Professional, Google Data Analytics",Mumbai
Meghan Wilson,NIT Warangal,Computer Science,2021,2025,8.65,Civil Project Manager,"TensorFlow, Power BI",AWS Certified,Chennai
Ashley Braun,BITS Pilani,Computer Science,2022,2026,6.38,Mechanical Design Engineer,"AutoCAD, Java, Python, R","Cisco CCNA, Azure Fundamentals",Chennai
Bethany Johnson,BITS Pilani,Cybersecurity,2022,2026,6.12,Cybersecurity Analyst,"Python, Power BI, TensorFlow, MATLAB, C++",,Kolkata
Joseph Bryan,VIT,Biotech,2021,2025,7.11,Civil Project Manager,"AutoCAD, Java","AWS Certified, Azure Fundamentals",Delhi
Lauren Caldwell,IIT Madras,Computer Science,2016,2020,9.05,Cybersecurity Analyst,"Power BI, Excel, Java, MATLAB",Azure Fundamentals,Kolkata
Randall Martinez,IIT Madras,Civil,2018,2022,6.19,ML Engineer,"TensorFlow, AutoCAD, Linux, C++","Google Data Analytics, AutoCAD Professional",Hyderabad
Zachary Duncan,IIIT Hyderabad,Biotech,2016,2020,7.98,ML Engineer,"Excel, Power BI","Scrum Master, Cisco CCNA",Mumbai
Janet Powell,NIT Warangal,Biotech,2020,2024,6.23,Cybersecurity Analyst,"Python, Java",Azure Fundamentals,Hyderabad
Timothy Brown,IIT Bombay,Electronics,2020,2024,9.8,Mechanical Design Engineer,"SQL, C++, AutoCAD","Scrum Master, Cisco CCNA",Bangalore
Tamara Brewer,VIT,Mechanical,2015,2019,9.53,Software Engineer,"Python, MATLAB, Java, Power BI",AWS Certified,Hyderabad
Lisa Dominguez,NIT Warangal,Electronics,2015,2019,8.31,Mechanical Design Engineer,"AutoCAD, C++, MATLAB, Python",,Bangalore
Sean Garcia,IIIT Hyderabad,AI & ML,2020,2024,6.26,Systems Engineer,"Java, Linux",,Kolkata
Matthew Kennedy,BITS Pilani,Electronics,2015,2019,9.2,Mechanical Design Engineer,"Power BI, Linux","Scrum Master, Google Data Analytics",Mumbai
William Douglas MD,IIT Bombay,Civil,2017,2021,6.64,Software Engineer,"Linux, SQL, Java","Azure Fundamentals, AWS Certified",Mumbai
Frank Kirk,IIIT Hyderabad,Mechanical,2019,2023,8.07,Systems Engineer,"TensorFlow, C++, Java, Python",Azure Fundamentals,Bangalore
Jennifer Hunter,IIT Delhi,Biotech,2019,2023,8.09,Biotech Researcher,"Linux, C++, Java, Power BI, R",,Hyderabad
Jacob Parker,NIT Warangal,Electronics,2015,2019,9.68,Civil Project Manager,"Excel, R, TensorFlow, Java, Power BI",,Hyderabad
Kerry Jackson,NIT Warangal,AI & ML,2019,2023,6.8,Software Engineer,"MATLAB, Python, SQL",,Chennai
Steven Ramsey,IIT Madras,Mechanical,2020,2024,8.92,Systems Engineer,"Python, AutoCAD, C++",,Hyderabad
Randy Allen,IIT Madras,AI & ML,2022,2026,8.04,Data Analyst,"Linux, C++",Google Data Analytics,Delhi
Danny Sloan,BITS Pilani,AI & ML,2022,2026,7.67,Mechanical Design Engineer,"AutoCAD, TensorFlow, R, Excel, Python",AWS Certified,Chennai
James Vance,IIIT Hyderabad,Cybersecurity,2018,2022,6.97,ML Engineer,"Linux, C++, Java, Python",,Bangalore
Benjamin Lawrence,IIT Madras,Cybersecurity,2019,2023,6.45,Systems Engineer,"Linux, C++, SQL, AutoCAD",Scrum Master,Kolkata
Matthew Vaughn,VIT,Electronics,2022,2026,6.8,Biotech Researcher,"Power BI, Linux, TensorFlow, C++",,Kolkata
William Shaw,IIT Madras,Computer Science,2020,2024,9.89,Cybersecurity Analyst,"MATLAB, SQL",,Mumbai
Seth Martinez,NIT Warangal,Civil,2016,2020,8.38,Systems Engineer,"SQL, Excel, Python",Cisco CCNA,Delhi
Eric Green,BITS Pilani,Cybersecurity,2020,2024,6.32,Biotech Researcher,"R, TensorFlow, MATLAB, Linux",Cisco CCNA,Pune
Brian Johnson,NIT Trichy,Computer Science,2021,2025,9.29,Mechanical Design Engineer,"R, SQL, Power BI, AutoCAD, Python","AWS Certified, Cisco CCNA",Bangalore
Randy Ferrell,NIT Trichy,Electronics,2018,2022,7.02,Biotech Researcher,"Java, Linux",,Delhi
Carlos Owens,NIT Trichy,AI & ML,2020,2024,7.27,Systems Engineer,"TensorFlow, AutoCAD, MATLAB",AWS Certified,Mumbai
Mark Matthews,VIT,Biotech,2021,2025,9.84,ML Engineer,"Power BI, Python, Excel, R",,Mumbai
Brittany Gonzalez,IIT Bombay,Civil,2017,2021,9.63,Biotech Researcher,"Python, Java, Linux, AutoCAD, Power BI",Scrum Master,Mumbai
David Barron,IIT Bombay,AI & ML,2021,2025,9.59,Software Engineer,"SQL, Linux, TensorFlow, Excel, C++",Cisco CCNA,Chennai
Latoya Smith,NIT Warangal,Data Science,2019,2023,7.49,Data Analyst,"Power BI, SQL",Azure Fundamentals,Ahmedabad
Samantha Underwood PhD,NIT Warangal,Cybersecurity,2022,2026,6.87,Data Analyst,"AutoCAD, Python, Excel, C++",Scrum Master,Ahmedabad
Joel Powell,IIT Madras,Cybersecurity,2016,2020,6.26,Systems Engineer,"Linux, SQL",,Delhi
Beth Blair,NIT Warangal,Data Science,2015,2019,9.15,Mechanical Design Engineer,"MATLAB, AutoCAD, TensorFlow, SQL, Java","Scrum Master, Azure Fundamentals",Delhi
Melinda Price,IIT Madras,Civil,2019,2023,6.73,Cybersecurity Analyst,"Python, Excel, AutoCAD, R",AWS Certified,Chennai
Dennis Brown,IIT Bombay,Civil,2017,2021,7.5,Data Analyst,"Java, Linux, C++",,Kolkata
John Phillips,IIT Bombay,Electronics,2022,2026,8.35,Mechanical Design Engineer,"AutoCAD, Java",,Chennai
William Luna,NIT Trichy,AI & ML,2019,2023,8.43,ML Engineer,"Power BI, R, MATLAB, Excel, Linux",Cisco CCNA,Hyderabad
Marcia Watts,IIT Delhi,Electronics,2018,2022,7.11,Civil Project Manager,"Power BI, Excel",Google Data Analytics,Delhi
Jordan Wall,VIT,Mechanical,2017,2021,8.93,ML Engineer,"Java, MATLAB","AWS Certified, Azure Fundamentals",Bangalore
Michael Atkins,IIT Madras,Cybersecurity,2017,2021,6.61,Biotech Researcher,"Power BI, R, TensorFlow",,Ahmedabad
Manuel Smith,NIT Warangal,Data Science,2015,2019,6.77,Systems Engineer,"Excel, R, TensorFlow","AutoCAD Professional, Scrum Master",Ahmedabad
Amanda Miller,IIT Madras,AI & ML,2022,2026,6.26,Biotech Researcher,"Power BI, Java, AutoCAD, R",AWS Certified,Ahmedabad
Bradley Weber,NIT Warangal,Biotech,2017,2021,8.17,Civil Project Manager,"Python, Linux, MATLAB, SQL, R",AWS Certified,Hyderabad
Bethany Gutierrez,NIT Trichy,Biotech,2020,2024,6.07,Biotech Researcher,"TensorFlow, C++, Power BI, Python, MATLAB","Google Data Analytics, Scrum Master",Pune
Brendan Welch,NIT Trichy,Civil,2019,2023,6.62,Biotech Researcher,"MATLAB, Linux, R, Python",,Mumbai
Jonathan Johnson,IIT Delhi,Electronics,2022,2026,6.28,Cybersecurity Analyst,"SQL, Java, Linux, AutoCAD, MATLAB",,Hyderabad
Justin Young,IIT Bombay,Cybersecurity,2017,2021,6.01,Systems Engineer,"Power BI, C++",,Hyderabad
Kristi Cooper,NIT Trichy,Biotech,2022,2026,9.54,Systems Engineer,"Python, Power BI",,Pune
Destiny Hayden,VIT,Cybersecurity,2021,2025,7.03,Systems Engineer,"AutoCAD, C++, MATLAB","Azure Fundamentals, AutoCAD Professional",Bangalore
John Barry,NIT Warangal,AI & ML,2016,2020,8.2,Systems Engineer,"Excel, MATLAB",,Kolkata
Victoria Osborne,IIIT Hyderabad,Biotech,2018,2022,6.7,Data Analyst,"SQL, Excel, MATLAB, R, Power BI","AutoCAD Professional, AWS Certified",Chennai
Jerry Richardson,NIT Trichy,Cybersecurity,2022,2026,6.6,ML Engineer,"MATLAB, Python","Scrum Master, AutoCAD Professional",Ahmedabad
Cynthia Clark,IIIT Hyderabad,AI & ML,2020,2024,8.12,Software Engineer,"MATLAB, C++, Python, AutoCAD","AutoCAD Professional, Cisco CCNA",Delhi
Shannon Briggs,IIT Delhi,Computer Science,2020,2024,9.8,Software Engineer,"Linux, C++","AutoCAD Professional, Azure Fundamentals",Kolkata
Scott Wright,BITS Pilani,Mechanical,2017,2021,9.27,Civil Project Manager,"C++, Power BI, AutoCAD, SQL",,Ahmedabad
Janet Schaefer,IIT Bombay,Cybersecurity,2020,2024,7.62,Mechanical Design Engineer,"R, Python",Scrum Master,Mumbai
Chelsea Kent,VIT,Computer Science,2021,2025,8.62,Civil Project Manager,"Python, AutoCAD",Google Data Analytics,Delhi
Daniel King,IIT Delhi,Mechanical,2019,2023,8.59,Data Analyst,"SQL, Excel","Google Data Analytics, AutoCAD Professional",Chennai
Chad Sosa,NIT Warangal,Data Science,2016,2020,9.61,Biotech Researcher,"Excel, Linux, R, MATLAB, Power BI","Scrum Master, AutoCAD Professional",Ahmedabad
Timothy Tran,BITS Pilani,Electronics,2019,2023,7.01,Cybersecurity Analyst,"AutoCAD, Java, R",AWS Certified,Pune
Anthony Rivera,NIT Trichy,Computer Science,2021,2025,6.36,ML Engineer,"Java, Python, TensorFlow",AWS Certified,Hyderabad
Derek Hooper,NIT Warangal,Computer Science,2022,2026,9.65,Cybersecurity Analyst,"Linux, Java",,Ahmedabad
Timothy Mccullough,IIT Madras,Data Science,2016,2020,9.54,Software Engineer,"Linux, Java, AutoCAD","AutoCAD Professional, Google Data Analytics",Kolkata
Michelle Barr,NIT Trichy,Mechanical,2021,2025,9.23,Mechanical Design Engineer,"Power BI, C++, Excel, R","AutoCAD Professional, Scrum Master",Bangalore
Allen Hansen,BITS Pilani,Data Science,2016,2020,6.36,Civil Project Manager,"MATLAB, R","AutoCAD Professional, Google Data Analytics",Chennai
Ashley Hall,VIT,Cybersecurity,2017,2021,6.1,Systems Engineer,"Power BI, Java, Python, TensorFlow, Excel",Azure Fundamentals,Bangalore
Michael Ross,IIIT Hyderabad,Civil,2021,2025,7.54,Mechanical Design Engineer,"Linux, AutoCAD, R, Python","Google Data Analytics, AutoCAD Professional",Chennai
Tamara Davis,IIT Bombay,Mechanical,2019,2023,9.94,Civil Project Manager,"C++, TensorFlow","Cisco CCNA, AutoCAD Professional",Mumbai
Leah Young,IIT Delhi,Mechanical,2022,2026,7.12,Cybersecurity Analyst,"Python, AutoCAD, Linux, Java, Power BI","AutoCAD Professional, AWS Certified",Mumbai
Megan Myers,IIT Bombay,Electronics,2015,2019,9.62,Civil Project Manager,"Excel, Linux, SQL, R, MATLAB",,Bangalore
Michelle Kelly,BITS Pilani,Cybersecurity,2020,2024,7.49,Systems Engineer,"C++, MATLAB, AutoCAD, SQL",,Chennai
Patricia Dean,IIIT Hyderabad,Cybersecurity,2021,2025,7.22,Software Engineer,"Java, Excel, Python",Google Data Analytics,Mumbai
Lee Newman,IIT Madras,Electronics,2018,2022,6.3,Mechanical Design Engineer,"R, Python, Power BI, TensorFlow, C++","Cisco CCNA, Azure Fundamentals",Bangalore
Ronald Rasmussen,IIIT Hyderabad,Mechanical,2017,2021,9.93,ML Engineer,"Excel, R, Python",,Bangalore
Vanessa Harrington,IIT Delhi,AI & ML,2016,2020,7.82,Software Engineer,"AutoCAD, Power BI, MATLAB, R, TensorFlow",,Chennai
Kristen Robles,IIT Bombay,Civil,2022,2026,7.5,Cybersecurity Analyst,"Power BI, R",Cisco CCNA,Chennai
Lisa Thomas,NIT Trichy,Electronics,2018,2022,9.71,Biotech Researcher,"Excel, Java, SQL, TensorFlow",,Pune
Patrick Lopez,IIIT Hyderabad,Mechanical,2015,2019,8.09,Data Analyst,"TensorFlow, Linux, MATLAB, C++, Python",,Bangalore
Margaret Bailey,VIT,Data Science,2016,2020,7.23,Systems Engineer,"AutoCAD, Excel, R, SQL, Python",Scrum Master,Delhi
Joseph Anthony,NIT Trichy,Biotech,2017,2021,9.11,Systems Engineer,"AutoCAD, SQL, R","Cisco CCNA, Scrum Master",Mumbai
Lisa Clark,IIIT Hyderabad,Civil,2021,2025,7.56,ML Engineer,"Java, AutoCAD, Excel",,Ahmedabad
Katrina Rogers,IIT Bombay,Civil,2018,2022,8.13,Data Analyst,"MATLAB, Excel, R, Power BI",,Mumbai
Adam Rangel,VIT,Cybersecurity,2017,2021,6.41,Software Engineer,"SQL, TensorFlow","Azure Fundamentals, Scrum Master",Ahmedabad
Toni Kennedy,NIT Warangal,Computer Science,2015,2019,9.54,Mechanical Design Engineer,"Excel, Java, TensorFlow, R, Python",Azure Fundamentals,Pune
Scott White,IIT Bombay,Electronics,2016,2020,6.38,Civil Project Manager,"Python, R, Java","Azure Fundamentals, Google Data Analytics",Delhi
Jennifer White,BITS Pilani,AI & ML,2020,2024,7.46,Data Analyst,"Power BI, Java, Linux, AutoCAD, SQL",Azure Fundamentals,Chennai
Miss Melissa Daniels,NIT Trichy,Cybersecurity,2019,2023,8.84,Software Engineer,"Excel, Python, Linux",AutoCAD Professional,Delhi
Jared Sanchez,IIT Delhi,Computer Science,2019,2023,7.2,Cybersecurity Analyst,"Java, SQL, C++, Python",,Ahmedabad
Paige Conley,BITS Pilani,Electronics,2020,2024,7.64,Software Engineer,"R, Excel, Python",,Mumbai
Kelly Griffin,IIT Delhi,Data Science,2017,2021,8.79,Civil Project Manager,"AutoCAD, Python, TensorFlow, R",,Hyderabad
Stacie Bailey,NIT Trichy,Data Science,2016,2020,8.77,Biotech Researcher,"R, SQL","Scrum Master, Cisco CCNA",Ahmedabad
Jacob Blair,IIT Madras,Biotech,2021,2025,8.16,Civil Project Manager,"Excel, Python, TensorFlow, C++, MATLAB",,Mumbai
Danielle Long,IIT Madras,Mechanical,2020,2024,7.09,Mechanical Design Engineer,"R, Power BI, AutoCAD, MATLAB",Google Data Analytics,Kolkata
Shelly Davis,IIT Delhi,Mechanical,2016,2020,9.07,Cybersecurity Analyst,"TensorFlow, Power BI",Google Data Analytics,Kolkata
Darrell Miller,BITS Pilani,Electronics,2021,2025,6.25,Cybersecurity Analyst,"Java, AutoCAD, R",,Bangalore
Christian Garcia,VIT,Biotech,2020,2024,8.91,Cybersecurity Analyst,"R, C++, AutoCAD","AWS Certified, Azure Fundamentals",Chennai
Melissa Allen,IIT Madras,AI & ML,2017,2021,9.94,ML Engineer,"SQL, Linux, Java, Power BI","Google Data Analytics, Azure Fundamentals",Mumbai
Vanessa Hunt,NIT Trichy,Mechanical,2022,2026,7.1,Systems Engineer,"TensorFlow, Excel",,Mumbai
Joseph Bowers,IIT Delhi,AI & ML,2018,2022,6.77,ML Engineer,"Excel, C++","Scrum Master, AutoCAD Professional",Kolkata
Daniel Hicks,IIT Bombay,Electronics,2022,2026,8.21,Cybersecurity Analyst,"Java, SQL",Azure Fundamentals,Kolkata
Michael Zavala,IIT Delhi,AI & ML,2019,2023,9.32,Biotech Researcher,"C++, Python",,Hyderabad
Scott Crawford,IIT Bombay,Electronics,2021,2025,6.58,ML Engineer,"Linux, SQL, Power BI, MATLAB","Google Data Analytics, Azure Fundamentals",Kolkata
William Parks,NIT Trichy,Data Science,2016,2020,9.01,Cybersecurity Analyst,"R, Python, SQL, Power BI",Cisco CCNA,Chennai
Nathan Herrera,IIT Madras,AI & ML,2015,2019,8.02,Cybersecurity Analyst,"SQL, Power BI, AutoCAD, Java, C++",Google Data Analytics,Bangalore
Todd Peters,IIIT Hyderabad,Computer Science,2022,2026,7.83,Software Engineer,"Python, R, MATLAB","AutoCAD Professional, Scrum Master",Ahmedabad
Brandi Moore,NIT Warangal,Computer Science,2022,2026,9.78,Data Analyst,"MATLAB, TensorFlow, Excel",Cisco CCNA,Hyderabad
John Cortez,IIIT Hyderabad,Electronics,2020,2024,9.42,Systems Engineer,"Java, TensorFlow","Cisco CCNA, Scrum Master",Pune
Lindsay Mckinney,BITS Pilani,Computer Science,2021,2025,8.04,ML Engineer,"Excel, Java, TensorFlow",Azure Fundamentals,Mumbai
Levi Fernandez,IIT Bombay,Cybersecurity,2020,2024,9.52,Biotech Researcher,"MATLAB, Linux, Excel, Power BI",Scrum Master,Delhi
Helen Oneill,IIT Madras,Electronics,2017,2021,8.69,Civil Project Manager,"Linux, Power BI, MATLAB, C++, SQL",,Delhi
Justin Moore,NIT Warangal,AI & ML,2020,2024,6.56,Biotech Researcher,"MATLAB, SQL, Java, TensorFlow, Linux",,Delhi
Lawrence Bender,IIT Madras,Computer Science,2019,2023,7.29,Systems Engineer,"Power BI, Python","Azure Fundamentals, AutoCAD Professional",Ahmedabad
Rose Bailey,IIIT Hyderabad,Electronics,2022,2026,6.63,Cybersecurity Analyst,"AutoCAD, Linux, R, SQL, Java",,Chennai
Juan Miller,NIT Trichy,Data Science,2015,2019,9.74,Civil Project Manager,"Excel, TensorFlow, R, AutoCAD, SQL",,Bangalore
Amy Barnes,BITS Pilani,Cybersecurity,2016,2020,7.37,Biotech Researcher,"MATLAB, Java, SQL",,Delhi
Jason Haynes,IIT Madras,Cybersecurity,2020,2024,6.82,Biotech Researcher,"AutoCAD, TensorFlow, MATLAB, Java, Excel",,Pune
Sally Rodriguez,VIT,AI & ML,2015,2019,7.06,ML Engineer,"Power BI, Python","Cisco CCNA, AutoCAD Professional",Kolkata
Jerry Wright,VIT,Data Science,2021,2025,8.57,Biotech Researcher,"Power BI, R, MATLAB",AutoCAD Professional,Bangalore
Mary Smith,NIT Warangal,Biotech,2016,2020,7.69,Systems Engineer,"TensorFlow, Python, SQL, MATLAB","AutoCAD Professional, Cisco CCNA",Bangalore
Todd Ewing,IIT Madras,Computer Science,2019,2023,9.83,Mechanical Design Engineer,"Python, SQL, R, Power BI",,Chennai
